Configuración: -w 2 -t 3 -g 4 -n 24 -v 3 --ventana 0.01 --semilla 42

RUN    SONDA        AUDITORÍA     EXIT        
1      19           19             1           
2      19           19             1           
3      19           19             1           
4      17           17             1           
5      19           19             1           
6      18           18             1           
7      16           16             1           
8      18           18             1           
9      16           16             1           
10     16           16             1           

Ejecuciones con doble asignación: 10 de 10
