## --espera activa: hilos de trabajador-1 (ps -L)
    LWP STAT %CPU WCHAN                  COMMAND
 103151 Sl    0.0 hrtimer_nanosleep      trabajador-1
 103153 Sl    0.3 hrtimer_nanosleep      despachador-1-1
 103154 Sl    1.0 hrtimer_nanosleep      despachador-1-2
 103155 Sl    1.3 hrtimer_nanosleep      despachador-1-3
 103156 Sl    1.3 hrtimer_nanosleep      despachador-1-4
 103157 Sl    1.3 hrtimer_nanosleep      despachador-1-5
 103158 Sl    1.3 hrtimer_nanosleep      despachador-1-6
 103170 Sl    0.0 futex_do_wait          QueueFeederThre

En 2 s: cambios de contexto voluntarios de trabajador-1 (todos sus hilos) = 3940 | CPU consumida = 200 ms (ticks de /proc/<pid>/stat)
