## --espera bloqueante: hilos de trabajador-1 (ps -L)
    LWP STAT %CPU WCHAN                  COMMAND
 103036 Sl    0.0 hrtimer_nanosleep      trabajador-1
 103038 Sl    0.0 futex_do_wait          despachador-1-1
 103039 Sl    0.0 futex_do_wait          despachador-1-2
 103040 Sl    0.0 futex_do_wait          despachador-1-3
 103041 Sl    0.0 futex_do_wait          despachador-1-4
 103042 Sl    0.0 hrtimer_nanosleep      despachador-1-5
 103043 Sl    0.0 futex_do_wait          despachador-1-6
 103052 Sl    0.0 futex_do_wait          QueueFeederThre

En 2 s: cambios de contexto voluntarios de trabajador-1 (todos sus hilos) = 52 | CPU consumida = 10 ms (ticks de /proc/<pid>/stat)
