    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
  97679 edwar     20   0  398328  19292   7180 S   5.0   0.2   0:00.01 despachador-1-2
  97676 edwar     20   0  398328  19292   7180 S   0.0   0.2   0:00.00 trabajador-1
  97677 edwar     20   0  398328  19292   7180 S   0.0   0.2   0:00.00 despachador-1-1
  97680 edwar     20   0  398328  19292   7180 S   0.0   0.2   0:00.00 despachador-1-3
  97681 edwar     20   0  398328  19292   7180 S   0.0   0.2   0:00.00 despachador-1-4
  97700 edwar     20   0  398328  19292   7180 S   0.0   0.2   0:00.00 QueueFeederThre
  97678 edwar     20   0  398328  19288   7180 S   0.0   0.2   0:00.00 trabajador-2
  97682 edwar     20   0  398328  19288   7180 S   0.0   0.2   0:00.00 despachador-2-1
  97684 edwar     20   0  398328  19288   7180 S   0.0   0.2   0:00.00 despachador-2-2
  97686 edwar     20   0  398328  19288   7180 S   0.0   0.2   0:00.00 despachador-2-3
  97688 edwar     20   0  398328  19288   7180 S   0.0   0.2   0:00.00 despachador-2-4
  97702 edwar     20   0  398328  19288   7180 S   0.0   0.2   0:00.00 QueueFeederThre
  97683 edwar     20   0  323556  19172   7108 S   0.0   0.2   0:00.00 trabajador-3
  97687 edwar     20   0  323556  19172   7108 S   0.0   0.2   0:00.00 despachador-3-1
  97689 edwar     20   0  323556  19172   7108 S   0.0   0.2   0:00.00 despachador-3-2
  97690 edwar     20   0  323556  19172   7108 S   0.0   0.2   0:00.00 despachador-3-3
  97691 edwar     20   0  323556  19172   7108 S   0.0   0.2   0:00.00 despachador-3-4
  97685 edwar     20   0  323556  19172   7108 S   0.0   0.2   0:00.00 trabajador-4
  97692 edwar     20   0  323556  19172   7108 S   0.0   0.2   0:00.00 despachador-4-1
  97693 edwar     20   0  323556  19172   7108 S   0.0   0.2   0:00.00 despachador-4-2
  97694 edwar     20   0  323556  19172   7108 S   0.0   0.2   0:00.00 despachador-4-3
  97695 edwar     20   0  323556  19172   7108 S   0.0   0.2   0:00.00 despachador-4-4

