Carga: 24 rutas de 9 puntos (362 880 recorridos cada una, sólo CPU), -v 100 -a 100 -i 0 --ventana 0 -s 42

PROCESOS  HILOS  TIEMPO(s)  SPEEDUP   CPU TRAB(%)  REAL/CPU     CTX INVOLUNT.  CPU TOTAL RUTAS  SUMA LONGITUDES
1         1      5.31       1.00x     95.0         1.00         250            5.27             7690.4        
1         2      5.41       0.98x     95.5         1.86         113            5.37             7690.4        
1         4      5.35       0.99x     95.6         3.50         184            5.33             7690.4        
1         8      5.41       0.98x     95.9         5.34         283            5.39             7690.4        
2         1      3.52       1.51x     180.1        1.03         1274           6.77             7690.4        
4         1      3.01       1.76x     333.5        1.08         3460           10.85            7690.4        
8         1      2.87       1.85x     349.3        2.00         6564           10.84            7690.4        
2         2      3.63       1.46x     185.6        1.94         632            7.17             7690.4        
4         2      2.98       1.78x     337.3        2.13         8317           10.89            7690.4        

Núcleos lógicos del equipo: 4. REAL/CPU = tiempo real de cada ruta / CPU consumida por su hilo.
