t_s,pid,proceso,estado,hilos,rss_kb,pss_kb,privada_kb,cpu_s
0.0,121998,centro_despacho,R,4,23572,8877,3164,0.09
0.0,122008,trabajador-1,S,4,19300,6824,2480,0.00
0.0,122009,trabajador-2,S,4,19304,7064,2680,0.00
0.25,121998,centro_despacho,S,5,23740,9296,3884,0.11
0.25,122008,trabajador-1,S,5,23152,10780,6496,0.02
0.25,122009,trabajador-2,S,5,23684,11294,6992,0.03
0.51,121998,centro_despacho,S,5,23772,9338,3928,0.14
0.51,122008,trabajador-1,S,5,26580,14199,9904,0.07
0.51,122009,trabajador-2,S,5,27364,14965,10652,0.08
0.77,121998,centro_despacho,S,5,23784,9352,3944,0.17
0.77,122008,trabajador-1,S,5,30256,17856,13540,0.11
0.77,122009,trabajador-2,S,5,30756,18338,14004,0.12
1.03,121998,centro_despacho,S,5,23804,9376,3968,0.21
1.03,122008,trabajador-1,S,5,33904,21498,17172,0.16
1.03,122009,trabajador-2,S,5,33652,21224,16876,0.16
1.28,121998,centro_despacho,S,5,23824,9396,3988,0.25
1.28,122008,trabajador-1,S,5,36532,24098,19744,0.19
1.28,122009,trabajador-2,S,5,36784,24328,19952,0.19
1.54,121998,centro_despacho,S,5,23848,9416,4008,0.28
1.54,122008,trabajador-1,S,5,40156,27704,23332,0.24
1.54,122009,trabajador-2,S,5,39892,27418,23024,0.24
1.8,121998,centro_despacho,S,5,23860,9432,4024,0.31
1.8,122008,trabajador-1,S,5,43008,30538,26148,0.28
1.8,122009,trabajador-2,S,5,42488,29996,25584,0.28
2.06,121998,centro_despacho,S,3,24064,9449,4040,0.34
2.06,122008,trabajador-1,S,5,46640,34144,29728,0.33
2.06,122009,trabajador-2,S,5,45608,33346,28908,0.32
2.32,121998,centro_despacho,S,3,24076,16327,12776,0.36
