t_s,pid,proceso,estado,hilos,rss_kb,pss_kb,privada_kb,cpu_s
0.0,131970,centro_despacho,S,5,23500,7952,3280,0.09
0.0,131973,trabajador-1,S,4,19664,5942,2556,0.00
0.0,131974,trabajador-2,S,4,19732,5907,2512,0.00
0.0,131978,taller,S,2,19292,5834,2576,0.00
0.51,131970,centro_despacho,S,6,23648,8153,3572,0.09
0.51,131973,trabajador-1,S,4,19832,6237,2984,0.09
0.51,131974,trabajador-2,S,4,19840,6208,2932,0.09
0.51,131978,taller,S,2,19372,5979,2716,0.00
1.01,131970,centro_despacho,S,6,23684,8264,3696,0.11
1.01,131973,trabajador-1,S,5,20012,6545,3340,0.15
1.01,131974,trabajador-2,S,5,20168,6675,3432,0.21
1.01,131978,taller,S,2,19376,6103,2876,0.00
1.52,131970,centro_despacho,S,6,23696,8290,3728,0.12
1.52,131973,trabajador-1,S,5,20164,6684,3464,0.21
1.52,131974,trabajador-2,S,5,20172,6666,3432,0.21
1.52,131978,taller,S,2,19376,6106,2880,0.00
2.03,131970,centro_despacho,S,6,23708,8317,3764,0.13
2.03,131973,trabajador-1,S,5,20288,6813,3596,0.26
2.03,131974,trabajador-2,S,5,20360,6857,3624,0.29
2.03,131978,taller,S,2,19376,6123,2912,0.00
2.53,131970,centro_despacho,S,6,23716,8325,3776,0.13
2.53,131973,trabajador-1,S,5,20480,7004,3788,0.34
2.53,131974,trabajador-2,S,5,20488,6984,3752,0.34
2.53,131978,taller,S,2,19380,6124,2912,0.00
3.03,131970,centro_despacho,S,6,23728,8337,3788,0.13
3.03,131973,trabajador-1,S,5,20484,7008,3792,0.34
3.03,131974,trabajador-2,S,5,20492,6988,3756,0.34
3.03,131978,taller,S,2,19380,6124,2912,0.00
3.54,131970,centro_despacho,S,6,23732,8341,3792,0.15
3.54,131973,trabajador-1,S,5,20552,7073,3856,0.39
3.54,131974,trabajador-2,S,5,20620,7115,3884,0.42
3.54,131978,taller,S,2,19380,6124,2912,0.00
4.04,131970,centro_despacho,S,6,23744,8356,3808,0.15
4.04,131973,trabajador-1,S,5,20680,7207,3992,0.44
4.04,131974,trabajador-2,S,5,20684,7186,3956,0.47
4.04,131978,taller,S,2,19380,6128,2916,0.00
4.55,131970,centro_despacho,S,6,23760,8372,3824,0.17
4.55,131973,trabajador-1,S,5,20680,7206,3992,0.44
4.55,131974,trabajador-2,S,5,20748,7249,4020,0.54
4.55,131978,taller,S,2,19384,6129,2916,0.00
5.05,131970,centro_despacho,S,6,23768,8387,3840,0.17
5.05,131973,trabajador-1,S,5,20744,7271,4056,0.48
5.05,131974,trabajador-2,S,5,20816,7320,4092,0.57
5.05,131978,taller,S,2,19384,6130,2916,0.00
5.56,131970,centro_despacho,S,6,23776,8394,3848,0.18
5.56,131973,trabajador-1,S,5,20876,7411,4200,0.54
5.56,131974,trabajador-2,S,5,20880,7390,4164,0.61
5.56,131978,taller,S,2,19384,6138,2928,0.01
6.06,131970,centro_despacho,S,6,23784,8406,3860,0.19
6.06,131973,trabajador-1,S,5,20944,7479,4268,0.61
6.06,131974,trabajador-2,S,5,20948,7458,4232,0.67
6.06,131978,taller,S,2,19384,6138,2928,0.01
6.57,131970,centro_despacho,S,6,23804,8460,3924,0.20
6.57,131973,trabajador-1,S,5,21016,7564,4352,0.61
6.57,131974,trabajador-2,S,5,21076,7599,4372,0.75
6.57,131978,taller,S,2,19384,6151,2940,0.01
7.07,131970,centro_despacho,S,4,23996,9470,4140,0.20
7.07,131973,trabajador-1,S,3,21264,8631,4420,0.61
7.07,131974,trabajador-2,S,5,21204,8744,4520,0.76
7.58,131970,centro_despacho,S,4,23996,16256,12712,0.22
