t_s,recibidas,en_cola,en_proceso,esperando_veh,asignados,disponibles,entregadas,canceladas,finalizadas,rendimiento
1.0,12,3,6,3,3,0,3,0,3,3.0
2.0,24,9,6,3,3,0,9,0,9,6.0
3.0,30,9,6,3,3,0,15,0,15,6.0
4.0,32,10,6,3,3,0,16,0,16,1.0
5.01,34,10,6,3,3,0,18,0,18,2.0
6.01,36,10,6,3,3,0,20,0,20,2.0
7.01,37,10,6,3,3,0,21,0,21,1.0
8.01,37,10,6,3,3,0,21,0,21,0.0
9.01,37,10,6,3,3,0,21,0,21,0.0
10.01,37,10,6,3,3,0,21,0,21,0.0
11.02,37,10,6,3,3,0,21,0,21,0.0
12.02,37,10,6,3,3,0,21,0,21,0.0
13.02,39,10,6,3,3,0,23,0,23,2.0
14.02,42,10,6,3,3,0,26,0,26,3.0
15.02,47,10,6,3,3,0,31,0,31,5.0
16.02,52,10,6,3,3,0,36,0,36,5.0
17.02,56,10,6,3,3,0,40,0,40,4.0
18.02,60,0,1,0,1,2,44,15,59,19.0
