t_s,pid,proceso,estado,hilos,rss_kb,pss_kb,privada_kb,cpu_s
0.0,133510,centro_despacho,S,5,23528,7927,3276,0.08
0.0,133516,trabajador-1,S,4,19540,5909,2548,0.00
0.0,133517,trabajador-2,S,4,19608,5911,2508,0.00
0.0,133521,taller,S,2,19244,5855,2592,0.00
0.51,133510,centro_despacho,S,6,23644,8247,3696,0.09
0.51,133516,trabajador-1,S,5,19876,6492,3260,0.02
0.51,133517,trabajador-2,S,4,19704,6218,2920,0.01
0.51,133521,taller,S,2,19328,6024,2756,0.00
1.01,133510,centro_despacho,S,6,23672,8304,3764,0.10
1.01,133516,trabajador-1,S,5,20164,6798,3552,0.05
1.01,133517,trabajador-2,S,4,19716,6227,2924,0.01
1.01,133521,taller,S,2,19328,6042,2784,0.00
1.51,133510,centro_despacho,S,6,23680,8329,3776,0.12
1.51,133516,trabajador-1,S,5,20292,6915,3680,0.08
1.51,133517,trabajador-2,S,5,20044,6641,3392,0.04
1.51,133521,taller,S,2,19328,6101,2868,0.00
2.02,133510,centro_despacho,S,6,23692,8350,3804,0.12
2.02,133516,trabajador-1,S,5,20420,7043,3808,0.11
2.02,133517,trabajador-2,S,5,20172,6767,3516,0.06
2.02,133521,taller,S,2,19332,6109,2880,0.00
2.53,133510,centro_despacho,S,6,23700,8359,3812,0.14
2.53,133516,trabajador-1,S,5,20488,7111,3876,0.14
2.53,133517,trabajador-2,S,5,20432,7034,3788,0.10
2.53,133521,taller,S,2,19332,6114,2888,0.00
3.04,133510,centro_despacho,S,6,23708,8367,3820,0.16
3.04,133516,trabajador-1,T,5,20552,7178,3944,0.14
3.04,133517,trabajador-2,S,5,20496,7099,3852,0.12
3.04,133521,taller,S,2,19332,6114,2888,0.00
3.55,133510,centro_despacho,S,6,23712,8371,3824,0.17
3.55,133516,trabajador-1,T,5,20552,7178,3944,0.14
3.55,133517,trabajador-2,S,5,20560,7165,3920,0.14
3.55,133521,taller,S,2,19332,6116,2892,0.01
4.06,133510,centro_despacho,S,6,23720,8379,3832,0.17
4.06,133516,trabajador-1,T,5,20552,7177,3944,0.14
4.06,133517,trabajador-2,S,5,20560,7164,3920,0.14
