grupo,variante,solicitudes,repeticion,exit_code,duracion_real_s,log,generadas,entregadas,canceladas,no_atendidas,tiempo_total_s,rendimiento,espera_cola_ms,espera_vehiculo_ms,reintentos_sondeo,dobles_sonda,dobles_auditoria,inconsistencias,en_ruta_max,cpu_trabajadores_s,cpu_trabajadores_pct,ctx_voluntarios,ctx_involuntarios,interbloqueos,recuperaciones,reintentos_timeout,interbloqueo_sin_resolver
antes_despues,antes,10,1,1,2.12,logs/fase8/antes_despues_antes_n10_r1.log,10,10,0,0,1.66,6.01,266,10,0,7,7,9,6,0.05,2.3,164,23,0,0,0,0
antes_despues,despues,10,1,0,2.63,logs/fase8/antes_despues_despues_n10_r1.log,10,10,0,0,2.23,4.49,270,374,0,0,0,0,3,0.06,2.4,203,9,0,0,0,0
antes_despues,antes,25,1,1,3.91,logs/fase8/antes_despues_antes_n25_r1.log,25,25,0,0,3.51,7.12,1185,11,0,14,14,16,6,0.10,2.7,324,11,0,0,0,0
antes_despues,despues,25,1,0,5.43,logs/fase8/antes_despues_despues_n25_r1.log,25,25,0,0,5.04,4.96,1589,514,0,0,0,0,3,0.12,2.2,417,18,0,0,0,0
antes_despues,antes,50,1,1,6.49,logs/fase8/antes_despues_antes_n50_r1.log,50,50,0,0,6.09,8.21,1799,11,0,40,40,42,6,0.20,3.1,591,21,0,0,0,0
antes_despues,despues,50,1,0,10.93,logs/fase8/antes_despues_despues_n50_r1.log,50,50,0,0,10.55,4.74,3240,594,0,0,0,0,3,0.23,2.2,776,20,0,0,0,0
antes_despues,antes,100,1,1,12.02,logs/fase8/antes_despues_antes_n100_r1.log,100,100,0,0,11.63,8.60,2252,11,0,85,85,85,6,0.35,3.0,1036,52,0,0,0,0
antes_despues,despues,100,1,0,21.51,logs/fase8/antes_despues_despues_n100_r1.log,100,100,0,0,21.10,4.74,4099,617,0,0,0,0,3,0.43,2.0,1550,58,0,0,0,0
antes_despues,antes,200,1,1,23.01,logs/fase8/antes_despues_antes_n200_r1.log,200,200,0,0,22.63,8.84,2471,11,0,168,168,170,6,0.68,3.0,2060,93,0,0,0,0
antes_despues,despues,200,1,0,41.82,logs/fase8/antes_despues_despues_n200_r1.log,200,200,0,0,41.43,4.83,4540,620,0,0,0,0,3,0.84,2.0,3055,121,0,0,0,0
interbloqueo,sin_orden,24,1,1,8.49,logs/fase8/interbloqueo_sin_orden_n24_r1.log,24,16,5,3,4.17,3.84,797,563,0,0,0,0,3,0.11,1.3,520,17,1,0,0,1
interbloqueo,orden,24,1,0,5.65,logs/fase8/interbloqueo_orden_n24_r1.log,24,24,0,0,5.14,4.67,1420,538,0,0,0,0,3,0.16,2.8,565,18,0,0,0,0
interbloqueo,timeout,24,1,0,6.21,logs/fase8/interbloqueo_timeout_n24_r1.log,24,24,0,0,5.72,4.20,1643,620,0,0,0,0,3,0.16,2.7,607,11,0,0,9,0
interbloqueo,deteccion,24,1,0,17.25,logs/fase8/interbloqueo_deteccion_n24_r1.log,24,24,0,0,16.71,1.44,4356,1999,0,0,0,0,3,0.23,1.4,1921,14,8,8,0,0
interbloqueo,sin_orden,48,1,1,10.07,logs/fase8/interbloqueo_sin_orden_n48_r1.log,48,19,26,3,4.45,4.27,1189,537,0,0,0,0,3,0.14,1.4,660,37,1,0,0,1
interbloqueo,orden,48,1,0,11.05,logs/fase8/interbloqueo_orden_n48_r1.log,48,48,0,0,10.50,4.57,2209,613,0,0,0,0,3,0.28,2.6,1040,12,0,0,0,0
interbloqueo,timeout,48,1,0,11.43,logs/fase8/interbloqueo_timeout_n48_r1.log,48,48,0,0,10.99,4.37,2362,651,0,0,0,0,3,0.27,2.4,1066,38,0,0,9,0
interbloqueo,deteccion,48,1,0,13.66,logs/fase8/interbloqueo_deteccion_n48_r1.log,48,48,0,0,13.11,3.66,2799,788,0,0,0,0,3,0.30,2.2,1416,30,4,4,0,0
espera,bloqueante,48,1,0,15.13,logs/fase8/espera_bloqueante_n48_r1.log,48,48,0,0,14.75,3.25,3377,3532,0,0,0,0,2,0.24,1.6,1546,61,0,0,0,0
espera,activa_5ms,48,1,0,15.12,logs/fase8/espera_activa_5ms_n48_r1.log,48,48,0,0,14.74,3.26,3552,3607,33254,0,0,0,2,2.91,19.4,50383,1520,0,0,0,0
espera,activa_sin_pausa,48,1,0,15.06,logs/fase8/espera_activa_sin_pausa_n48_r1.log,48,48,0,0,14.66,3.27,3525,3606,2021743,0,0,0,2,25.60,171.5,4207687,246719,0,0,0,0
antes_despues,antes,10,2,1,1.75,logs/fase8/antes_despues_antes_n10_r2.log,10,10,0,0,1.36,7.35,224,11,0,6,6,7,6,0.06,3.4,179,6,0,0,0,0
antes_despues,despues,10,2,0,2.46,logs/fase8/antes_despues_despues_n10_r2.log,10,10,0,0,2.05,4.87,274,409,0,0,0,0,3,0.06,2.5,201,9,0,0,0,0
antes_despues,antes,25,2,1,3.51,logs/fase8/antes_despues_antes_n25_r2.log,25,25,0,0,3.12,8.02,1120,11,0,20,20,22,6,0.12,3.5,308,4,0,0,0,0
antes_despues,despues,25,2,0,5.45,logs/fase8/antes_despues_despues_n25_r2.log,25,25,0,0,5.07,4.93,1613,531,0,0,0,0,3,0.10,1.8,407,16,0,0,0,0
antes_despues,antes,50,2,1,6.44,logs/fase8/antes_despues_antes_n50_r2.log,50,50,0,0,6.03,8.30,1930,11,0,40,40,40,6,0.18,2.9,566,16,0,0,0,0
antes_despues,despues,50,2,0,10.92,logs/fase8/antes_despues_despues_n50_r2.log,50,50,0,0,10.53,4.75,3177,593,0,0,0,0,3,0.22,2.1,756,31,0,0,0,0
antes_despues,antes,100,2,1,12.05,logs/fase8/antes_despues_antes_n100_r2.log,100,100,0,0,11.65,8.58,2329,11,0,79,79,81,6,0.38,3.2,1058,36,0,0,0,0
antes_despues,despues,100,2,0,21.38,logs/fase8/antes_despues_despues_n100_r2.log,100,100,0,0,20.99,4.77,4095,613,0,0,0,0,3,0.43,2.0,1535,32,0,0,0,0
antes_despues,antes,200,2,1,24.27,logs/fase8/antes_despues_antes_n200_r2.log,200,200,0,0,23.88,8.38,2627,11,0,141,141,142,6,0.74,3.1,2128,61,0,0,0,0
antes_despues,despues,200,2,0,41.97,logs/fase8/antes_despues_despues_n200_r2.log,200,200,0,0,41.55,4.81,4507,621,0,0,0,0,3,0.87,2.1,3010,86,0,0,0,0
interbloqueo,sin_orden,24,2,1,7.13,logs/fase8/interbloqueo_sin_orden_n24_r2.log,19,3,13,3,0.66,4.52,0,11,0,0,0,0,3,0.06,0.8,324,22,1,0,0,1
interbloqueo,orden,24,2,0,5.85,logs/fase8/interbloqueo_orden_n24_r2.log,24,24,0,0,5.20,4.62,1371,530,0,0,0,0,3,0.15,2.7,543,13,0,0,0,0
interbloqueo,timeout,24,2,0,6.34,logs/fase8/interbloqueo_timeout_n24_r2.log,24,24,0,0,5.76,4.17,1500,589,0,0,0,0,3,0.16,2.7,605,29,0,0,10,0
interbloqueo,deteccion,24,2,0,6.39,logs/fase8/interbloqueo_deteccion_n24_r2.log,24,24,0,0,5.80,4.14,1750,633,0,0,0,0,3,0.15,2.5,619,26,1,1,0,0
interbloqueo,sin_orden,48,2,1,9.5,logs/fase8/interbloqueo_sin_orden_n48_r2.log,37,21,14,2,5.73,3.67,1293,556,0,0,0,0,3,0.15,1.6,605,43,1,0,0,1
interbloqueo,orden,48,2,0,11.25,logs/fase8/interbloqueo_orden_n48_r2.log,48,48,0,0,10.75,4.47,2273,629,0,0,0,0,3,0.28,2.5,1085,18,0,0,0,0
interbloqueo,timeout,48,2,0,11.56,logs/fase8/interbloqueo_timeout_n48_r2.log,48,48,0,0,11.01,4.36,2352,657,0,0,0,0,3,0.28,2.5,1092,13,0,0,15,0
interbloqueo,deteccion,48,2,0,11.72,logs/fase8/interbloqueo_deteccion_n48_r2.log,48,48,0,0,11.22,4.28,2435,669,0,0,0,0,3,0.29,2.5,1211,29,1,1,0,0
espera,bloqueante,48,2,0,15.22,logs/fase8/espera_bloqueante_n48_r2.log,48,48,0,0,14.82,3.24,3483,3626,0,0,0,0,2,0.27,1.8,1511,72,0,0,0,0
espera,activa_5ms,48,2,0,15.46,logs/fase8/espera_activa_5ms_n48_r2.log,48,48,0,0,14.99,3.20,3312,3602,33195,0,0,0,2,2.94,19.3,50775,1404,0,0,0,0
espera,activa_sin_pausa,48,2,0,15.41,logs/fase8/espera_activa_sin_pausa_n48_r2.log,48,48,0,0,15.01,3.20,3545,3599,2039558,0,0,0,2,25.95,169.9,4277052,251257,0,0,0,0
antes_despues,antes,10,3,1,1.94,logs/fase8/antes_despues_antes_n10_r3.log,10,10,0,0,1.54,6.48,247,11,0,6,6,7,6,0.06,3.3,179,5,0,0,0,0
antes_despues,despues,10,3,0,2.35,logs/fase8/antes_despues_despues_n10_r3.log,10,10,0,0,1.95,5.12,274,406,0,0,0,0,3,0.07,3.0,194,6,0,0,0,0
antes_despues,antes,25,3,1,4.13,logs/fase8/antes_despues_antes_n25_r3.log,25,25,0,0,3.76,6.66,1279,11,0,15,15,16,6,0.11,2.7,316,15,0,0,0,0
antes_despues,despues,25,3,0,5.39,logs/fase8/antes_despues_despues_n25_r3.log,25,25,0,0,5.01,4.99,1613,520,0,0,0,0,3,0.08,1.5,403,24,0,0,0,0
antes_despues,antes,50,3,1,6.58,logs/fase8/antes_despues_antes_n50_r3.log,50,50,0,0,6.19,8.07,1903,11,0,41,41,41,6,0.21,3.3,568,14,0,0,0,0
antes_despues,despues,50,3,0,10.91,logs/fase8/antes_despues_despues_n50_r3.log,50,50,0,0,10.51,4.76,3219,601,0,0,0,0,3,0.23,2.1,809,22,0,0,0,0
antes_despues,antes,100,3,1,12.6,logs/fase8/antes_despues_antes_n100_r3.log,100,100,0,0,12.23,8.18,2371,11,0,75,75,76,6,0.38,3.1,1086,20,0,0,0,0
antes_despues,despues,100,3,0,21.37,logs/fase8/antes_despues_despues_n100_r3.log,100,100,0,0,20.97,4.77,4132,612,0,0,0,0,3,0.45,2.1,1552,51,0,0,0,0
antes_despues,antes,200,3,1,24.05,logs/fase8/antes_despues_antes_n200_r3.log,200,200,0,0,23.63,8.46,2564,11,27,160,160,159,6,0.70,2.9,2112,58,0,0,0,0
antes_despues,despues,200,3,0,42.03,logs/fase8/antes_despues_despues_n200_r3.log,200,200,0,0,41.61,4.81,4540,621,0,0,0,0,3,0.87,2.1,3044,72,0,0,0,0
interbloqueo,sin_orden,24,3,1,10.06,logs/fase8/interbloqueo_sin_orden_n24_r3.log,24,19,2,3,4.10,4.63,1096,517,0,0,0,0,3,0.14,1.4,620,2,1,0,0,1
interbloqueo,orden,24,3,0,5.7,logs/fase8/interbloqueo_orden_n24_r3.log,24,24,0,0,5.21,4.60,1433,542,0,0,0,0,3,0.15,2.8,552,9,0,0,0,0
interbloqueo,timeout,24,3,0,5.93,logs/fase8/interbloqueo_timeout_n24_r3.log,24,24,0,0,5.39,4.46,1413,586,0,0,0,0,3,0.15,2.5,550,49,0,0,5,0
interbloqueo,deteccion,24,3,0,6.74,logs/fase8/interbloqueo_deteccion_n24_r3.log,24,24,0,0,6.15,3.90,1431,546,0,0,0,0,3,0.16,2.4,634,27,2,2,0,0
interbloqueo,sin_orden,48,3,1,10.13,logs/fase8/interbloqueo_sin_orden_n48_r3.log,37,21,13,3,4.66,4.51,1320,545,0,0,0,0,3,0.14,1.4,642,15,1,0,0,1
