t_s,recibidas,en_cola,en_proceso,esperando_veh,asignados,disponibles,entregadas,canceladas,finalizadas,rendimiento
1.0,29,20,6,3,3,0,3,0,3,3.0
2.0,35,20,6,3,3,0,9,0,9,6.0
3.0,40,20,6,3,3,0,14,0,14,5.0
4.0,44,20,6,3,3,0,18,0,18,4.0
5.0,49,20,6,3,3,0,23,0,23,5.0
6.01,54,20,6,3,3,0,28,0,28,5.0
7.01,58,20,6,3,3,0,32,0,32,4.0
8.01,64,20,6,3,3,0,38,0,38,6.0
9.01,67,20,6,3,3,0,41,0,41,3.0
10.01,72,20,6,3,3,0,46,0,46,5.0
11.01,77,20,6,3,3,0,51,0,51,5.0
12.01,82,20,6,3,3,0,56,0,56,5.0
13.01,86,20,6,3,3,0,60,0,60,4.0
14.01,92,20,6,3,3,0,66,0,66,6.0
15.01,98,20,6,3,3,0,72,0,72,6.0
16.02,100,18,6,3,3,0,76,0,76,4.0
17.02,100,14,6,3,3,0,80,0,80,4.0
18.02,100,10,6,3,3,0,84,0,84,4.0
19.02,100,4,6,3,3,0,90,0,90,6.0
20.02,100,0,5,2,3,0,95,0,95,5.0
21.02,100,0,1,0,1,2,99,0,99,4.0
